จริงใจไก่กา,กุ้ง สุทธิราช วงศ์เทวัญ,
รักกลางจันทร์,กุศล กมลสิงห์,
คิดถึงพ่อ,กุสุมา มณีกาญจน์,
จำปาคอยแฟน,กุสุมา มณีกาญจน์,
รอวันช้ำ,กุสุมา มณีกาญจน์,
เสียตัวเสียใจ,กุสุมา มณีกาญจน์,
ก่อนที่เธอจะ,เกมส์ แบมโบฮ์ x บาส,
เครื่องไฟลูกทุ่ง,เกรียงไกร,
กลับมาสักที,เกลอ,
คนที่เธอไม่เห็นหัว[ใจ],เกลอ,
ควายตาบอด,เกลอ,
แค่คนคุย,เกลอ,
เด็กแว้น,เกลอ,
น้ำคาวปลา,เกลอ,
เน็ตไอดอลกับเด็กตัดยาง,เกลอ,
เพ็ญเดือน12,เกลอ,
ไม่มี,เกลอ,
ลุ๊กลิ๊ก,เกลอ,
เสเพล,เกลอ,
หมาหวงก้าง,เกลอ,
กอดรูปจูบกระดาษ,เกษม คมสันต์,
เก็บไถขึ้นลาน,เกษม คมสันต์,
ไกลแฟน,เกษม คมสันต์,
ขอกหลอกคอยลอย,เกษม คมสันต์,
ขอแหวนแม่คืน,เกษม คมสันต์,
ข้าวคอยฝนคนคอยแฟน,เกษม คมสันต์,
ขี่ควายก็หล่อได้,เกษม คมสันต์,
คนขี้แพ้,เกษม คมสันต์,
คนช้ำประจำชุมชน,เกษม คมสันต์,
ความระทมคือเพื่อนตาย,เกษม คมสันต์,
คันไถพ่ายรัก,เกษม คมสันต์,
คิดถึงคุณครู,เกษม คมสันต์,
คิดถึงเอื้องดอย,เกษม คมสันต์,
คิดฮอดสาวตีข้าว,เกษม คมสันต์,
จดหมายจากบ้านนอก,เกษม คมสันต์,
จดหมายฉบับสุดท้าย,เกษม คมสันต์,
จดหมายเป็นหมัน,เกษม คมสันต์,
จอมแก่น,เกษม คมสันต์,
ซิมเบิงแน่,เกษม คมสันต์,
ซึ้งสาวขอนแก่น,เกษม คมสันต์,
เดือนแจ้งที่ฝั่งของ,เกษม คมสันต์,
ได้รักก็พอ,เกษม คมสันต์,
โทรศัพท์บอกที,เกษม คมสันต์,
นั่งเว้ากับสายลม,เกษม คมสันต์,
น้ำตาคนเลว,เกษม คมสันต์,
บ่จื่อบ่จำ,เกษม คมสันต์,
บ่ผิดคำอ้าย,เกษม คมสันต์,
บ่ย่านดอก,เกษม คมสันต์,
บักหุ่งเป็นเหตุ,เกษม คมสันต์,
บ๊ายบายลาก่อน,เกษม คมสันต์,
บ๊ายบายลาก่อน,เกษม คมสันต์,
เบาะข้างยังว่างอยู่,เกษม คมสันต์,
ผ้าป่าสัญญาฮัก,เกษม คมสันต์,
ผู้รับอาสา,เกษม คมสันต์,
ผู้เสียสละ,เกษม คมสันต์,
ไผสิทนได้,เกษม คมสันต์,
พี่ผิดอะไร,เกษม คมสันต์,
แพรมนผืนน้อย,เกษม คมสันต์,
มนต์รักที่ราบสูง,เกษม คมสันต์,
มอเตอร์ไซค์ใจว่าง,เกษม คมสันต์,
แม่นาพันไร่,เกษม คมสันต์,
ไม่เต็มใจแพ้,เกษม คมสันต์,
ยอมช้ำเพื่อพ่อ,เกษม คมสันต์,
รอยยิ้มในหยาดเหงื่อ,เกษม คมสันต์,
รักที่เฝ้ารอ,เกษม คมสันต์,
รักแท้จากลูกทุ่ง,เกษม คมสันต์,
รู้ตัวหรือเปล่า,เกษม คมสันต์,
ละครบทเศร้า,เกษม คมสันต์,
ลาก่อนขอนแก่น,เกษม คมสันต์,
สองครั้งที่แม่ร้องไห้,เกษม คมสันต์,
สาวภูไทใจดำ,เกษม คมสันต์,
หงส์ปีกหัก,เกษม คมสันต์,
หนุ่มนาหน้าเชย,เกษม คมสันต์,
หนุ่มลาวสาวใต้,เกษม คมสันต์,
ห้องนอนคนจน,เกษม คมสันต์,
หอมกลิ่นข้าวจี่,เกษม คมสันต์,
หัวอกคอนวอย,เกษม คมสันต์,
หาเงินส่งบ้าน,เกษม คมสันต์,
อยากได้ที่อยู่,เกษม คมสันต์,
อยู่ดีมีแฮง,เกษม คมสันต์,
อ้ายพอส่ำนี้,เกษม คมสันต์,
อ้ายมันกระจอก,เกษม คมสันต์,
อายหรือเปล่า,เกษม คมสันต์,
อาศัยเส้นเจ้าบ่าว,เกษม คมสันต์,
ไอ้หนุ่มตลาดนัด,เกษม คมสันต์,
หวานรัก,เกษม คมสันต์+ฝน ธนสุนทร,
นกเขาคูรัก,เกษม คมสันต์+อัมพร แหวนเพชร,
โปรดพิจารณา,"เกษม คมสันต์,ดำรง วงศ์ทอง,สำราญ บุญลาภ",
ใกล้เข้าไปอีกนิด-ชิดเข้ามาอีกหน่อย,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
ดอกฟ้าที่รัก,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
เดือนดารา,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
ตาผุยชุมแพ,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
ตามองตา,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
นักร้องพเนจร,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
ผู้ใหญ่ลี,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
เพราะคุณคนเดียว,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
ม.21,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
รักเธอเท่าช้าง,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
เวียงจันทน์เวียงใจ,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
แอ่วสาวกอด,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
ฮักสาวหมอลำ,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม",
รอวันสัญญา-ขอผิดสัญญา,"เกษม คมสันต์,สันติสุข มุกดาหาร,สมชาย ไทรงาม,บุญตา เมืองใหม่,แอร์ สุชาวดี,สุพรรษา มาภิรมย์",
ฝากไว้ให้คิด,แก้ม เจียรนัย,
สบายดีไหม,แก้ม เจียรนัย,
เหล้าจู๋,แก้ว กัลยา,
,,
อ้ายส่ำไม้ส้าว,โก้ ชาญชัย,
ทาร์ซานหาคู่,โกมินทร์,
ก่อนฟ้าสาง,ไก่ ภูผาชน,
มดแดงเฝ้าม่วง,ไก่ ภูผาชน,
มหาลัยหลอดแก้ว,ไก่ ภูผาชน,
วัยอันตราย,ไก่ ภูผาชน,
กลับเถิดน้อง,ไกรสร เรืองศรี,
ไกรสรวอนแฟน,ไกรสร เรืองศรี,
ขอจองห้องใจ,ไกรสร เรืองศรี,
จำได้ไหม,ไกรสร เรืองศรี,
แต่งงานสาหล่า,ไกรสร เรืองศรี,
เทพธิดาในดวงใจ,ไกรสร เรืองศรี,
นั่งคิดนอนฝัน,ไกรสร เรืองศรี,
ไปออดหลอด,ไกรสร เรืองศรี,
รอนางกลางนา,ไกรสร เรืองศรี,
หวานกล้วยบ่มแก๊ส,ไกรสร เรืองศรี,
อกหักอีกแล้ว,ไกรสร เรืองศรี,
ออกพรรษาจะมาขอ,ไกรสร เรืองศรี,
กับข้าวเพชฌฆาต,ขวัญจิตร ศรีประจันต์,
แม่ครัวตัวอย่าง,ขวัญจิตร ศรีประจันต์,
ไกลบ้าน,ขวัญชัย เพชรร้อยเอ็ด,
คนร้อยเอ็ด,ขวัญชัย เพชรร้อยเอ็ด,
จดหมายเป็นหมัน,ขวัญชัย เพชรร้อยเอ็ด,
ฟ้ากับดิน,ขวัญชัย เพชรร้อยเอ็ด,
ยกเมียให้เพื่อน,ขวัญชัย เพชรร้อยเอ็ด,
รักอันตราย,ขวัญชัย เพชรร้อยเอ็ด,
ลาก่อนเมืองใต้,ขวัญชัย เพชรร้อยเอ็ด,
กินเฟียง,ข้าวฟ่างฟางข้าว,
สร่างเมาค่อยเว้ากัน,ข้าวฟ่างฟางข้าว,
ขุนช้าง 2560,ขุนช้าง-ขุนแผน,
เจ็บแค่เพลงจบ,ไข่ ทองคำ,
ไปทั้งน้ำตา,ไข่ ทองคำ,
อย่าลืมตัวเอง,ไข่ ทองคำ,
กลัวช้ำซ้ำเติม,คม เมืองนคร,
บทเรียนราคาแพง,ครีม วลีรัตน,
เจนจิรา,คัฑลียา มารศรี,
ไม่โดนทิ้งก็โดนหลอก,คัฑลียา มารศรี,
ประชาชน,คันไถ,
ยายแตงโม,คันไถ,
ขายนาซื้อนาง,คัมภีร์ แสงทอง,
ครวญหาแฟน,คัมภีร์ แสงทอง,
ใจนางเหมือนทางรถ,คัมภีร์ แสงทอง,
ชาวเรือฝากรัก,คัมภีร์ แสงทอง,
เดือนลับฟ้า,คัมภีร์ แสงทอง,
น้องราคาแสน,คัมภีร์ แสงทอง,
นัดพบที่สวนสามพราน,คัมภีร์ แสงทอง,
นับวันคอย,คัมภีร์ แสงทอง,
น้ำตาชายเหนือ,คัมภีร์ แสงทอง,
พ่ายเศรษฐี,คัมภีร์ แสงทอง,
ร้องไห้กับเดือน,คัมภีร์ แสงทอง,ส.
ไร้ทองผูกข้อมือ,คัมภีร์ แสงทอง,
วันวิวาห์,คัมภีร์ แสงทอง,
เสียดายนาง,คัมภีร์ แสงทอง,
อธิษฐานรักลอยกระทง,คัมภีร์ แสงทอง,
โดเรม่อน,คาเมร่า,
ฝากเล,คาเมร่า,
แพร่ภาพสด,คาเมร่า,
รออะไร,คาเมร่า,
เสียเวลา,คาเมร่า,
หล่อขอทาง,คาเมร่า,
เหตุุการณ์คืนนั้น,คาเมร่า,
โอ๊ยยยยยยยยย,คาเมร่า,
ไอติม,คาเมร่า,
คนธรรมดา,คิงคัฟ,
ไปดีนะ,คิงคัฟ,
น้ำตาลูกผู้ชาย,เคน ขวัญใจ ไมตรี,
ไสหัว,เคแมน,
น้องเป็ด,เค สไมล์ด็อก,
ฝากเขาดูแลเธอ,เค สไมล์ ด็อก,
ไม่มีวันเสียใจที่ได้ทำเพื่อเธอ,เค สไมล์ด็อก,
รักไม่จริง,เค สไมล์ด็อก,
ลาก่อน ที่รัก,เค สไมล์ด็อก,
ฝืน,เค สไมล์ด๊อก,
สถานะไร้ค่า,เค สไมล์ด๊อก,
อย่าหลงบางกอก,โฆษิต นพคุณ,อ.
รักกำมะลอ,โฆษิต นพคุณ,อ.
